l1_category_group|l2_category|l3_sub_category|commodity_code_reference|labor_rights_risk|hse_risk|contr_manuf_contr_hse_gl|hse_risk_comment2|animal_welfare_risk|bribery_risk|bribery_risk_comment|contractor_safety_risk|ey_id|ey_source
Construction|Design|Architectural Design|1005010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If obtaining permits, licences, building regulations approval?|No|1|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Construction|Design|Engineering Design|1005020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|2|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Construction|Construction Management and EPCMV|Construction Management and EPCMV|1008010|No known problem in sector|No known problem in sector|No|""|No known problem in sector|Possibly problem sector|If obtaining permits, licences, building regulations approval?|Yes|3|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Construction|Construction and Installation|Automation|1010010|Possibly problem sector|No known problem in sector|No|Definite HSE risk associated with this sector but currently out of scope for the Third Party Guidelines|No known problem in sector|No known problem in sector|""|Yes|4|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Construction|Construction and Installation|Buildings and Infrastructure (including Renovations and Furniture)|1010040|Definitely problem sector|No known problem in sector|No|Definite HSE risk associated with this sector but currently out of scope for the Third Party Guidelines|No known problem in sector|No known problem in sector|""|Yes|5|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Construction|Construction and Installation|Process piping and installations|1010050|Possibly problem sector|No known problem in sector|No|Definite HSE risk associated with this sector but currently out of scope for the Third Party Guidelines|No known problem in sector|No known problem in sector|""|Yes|6|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Construction|Construction and Installation|Electrical|1010080|Possibly problem sector|No known problem in sector|No|Definite HSE risk associated with this sector but currently out of scope for the Third Party Guidelines|No known problem in sector|No known problem in sector|""|Yes|7|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Construction|Construction and Installation|Mechanical|1010140|Possibly problem sector|No known problem in sector|No|Definite HSE risk associated with this sector but currently out of scope for the Third Party Guidelines|No known problem in sector|No known problem in sector|""|Yes|8|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Construction|Construction and Installation|Construction and Installation - Other|1010999|Definitely problem sector|No known problem in sector|No|Definite HSE risk associated with this sector but currently out of scope for the Third Party Guidelines|No known problem in sector|No known problem in sector|""|Yes|9|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
Production Equipment, Machinery and Supplies|Production Equipment and Machinery|Production Equipment and Machinery Purchased|1105020|No known problem in sector|No known problem in sector|No|""|No known problem in sector|No known problem in sector|""|No|10|\eyvirtual.ey.com\uss-sk2-primary\PROJECT_ALCON_\Data\ORIG Data\2020-10-20\Annex 1 Sector Risk for NCCs V 13 04.01.2018 (002)
